table_id	table_name	reg_id	reg_name	ind_id	ind_name	reg_date	val
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	12	Архангельская область	8	Среднемесячные курсы покупки Немецкой марки	2001-05-01T00:00:00	12.9900
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	12	Архангельская область	8	Среднемесячные курсы покупки Немецкой марки	2001-06-01T00:00:00	12.7900
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	12	Архангельская область	8	Среднемесячные курсы покупки Немецкой марки	2001-07-01T00:00:00	12.1900
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	12	Архангельская область	8	Среднемесячные курсы покупки Немецкой марки	2001-08-01T00:00:00	12.1600
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	12	Архангельская область	8	Среднемесячные курсы покупки Немецкой марки	2001-09-01T00:00:00	12.4700
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	12	Архангельская область	8	Среднемесячные курсы покупки Немецкой марки	2001-10-01T00:00:00	12.7900
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	12	Архангельская область	8	Среднемесячные курсы покупки Немецкой марки	2001-11-01T00:00:00	12.6700
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	12	Архангельская область	8	Среднемесячные курсы покупки Немецкой марки	2001-12-01T00:00:00	12.3900
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	12	Архангельская область	8	Среднемесячные курсы покупки Немецкой марки	2002-01-01T00:00:00	12.1800
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	12	Архангельская область	8	Среднемесячные курсы покупки Немецкой марки	2001-01-01T00:00:00	11.9900
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	64	Астраханская область	8	Среднемесячные курсы покупки Немецкой марки	2001-05-01T00:00:00	12.6700
